series,variant,n,k,pop,rep,f,seconds
n,orig_16,2000,3,128,3,849362,10.9293
n,orig_16,2000,3,128,4,849582,10.8918
n,ours_1,3000,3,128,0,1926460,21.130
n,ours_1,3000,3,128,1,1926530,21.187
n,ours_1,3000,3,128,2,1926942,21.155
n,ours_1,3000,3,128,3,1926796,21.336
n,ours_1,3000,3,128,4,1926828,21.050
n,orig_1,3000,3,128,0,1926162,255.4594
n,orig_1,3000,3,128,1,1926920,258.9800
n,orig_1,3000,3,128,2,1926960,257.8780
n,orig_1,3000,3,128,3,1926930,257.2357
n,orig_1,3000,3,128,4,1926949,255.6123
n,ours_16,3000,3,128,0,1926460,2.424
n,ours_16,3000,3,128,1,1926530,2.454
n,ours_16,3000,3,128,2,1926942,2.460
n,ours_16,3000,3,128,3,1926796,2.416
n,ours_16,3000,3,128,4,1926828,2.417
n,orig_16,3000,3,128,0,1926576,25.5714
n,orig_16,3000,3,128,1,1927022,25.2264
n,orig_16,3000,3,128,2,1926574,25.4799
n,orig_16,3000,3,128,3,1926994,25.1529
n,orig_16,3000,3,128,4,1926876,25.1372
n,ours_1,4000,3,128,0,3441672,43.136
n,ours_1,4000,3,128,1,3441562,42.405
n,ours_1,4000,3,128,2,3442026,43.308
n,ours_1,4000,3,128,3,3441703,42.439
n,ours_1,4000,3,128,4,3441682,42.393
n,orig_1,4000,3,128,0,3441826,503.8534
n,orig_1,4000,3,128,1,3441660,484.9342
n,orig_1,4000,3,128,2,3441662,494.5544
n,orig_1,4000,3,128,3,3442012,497.2065
n,orig_1,4000,3,128,4,3441895,492.6797
n,ours_16,4000,3,128,0,3441672,4.792
n,ours_16,4000,3,128,1,3441562,4.732
n,ours_16,4000,3,128,2,3442026,4.803
n,ours_16,4000,3,128,3,3441703,4.728
n,ours_16,4000,3,128,4,3441682,4.824
n,orig_16,4000,3,128,0,3442154,47.6741
n,orig_16,4000,3,128,1,3442132,49.9197
n,orig_16,4000,3,128,2,3442114,48.0988
n,orig_16,4000,3,128,3,3442012,48.0234
n,orig_16,4000,3,128,4,3441733,48.1490
n,ours_1,5000,3,128,0,5395128,73.793
n,ours_1,5000,3,128,1,5394488,74.574
n,ours_1,5000,3,128,2,5394486,76.002
n,ours_1,5000,3,128,3,5395196,75.941
n,ours_1,5000,3,128,4,5394732,77.010
n,orig_1,5000,3,128,0,5394662,811.1584
n,orig_1,5000,3,128,1,5394742,825.5034
n,orig_1,5000,3,128,2,5395212,765.1961
n,orig_1,5000,3,128,3,5395152,755.5685
n,orig_1,5000,3,128,4,5395000,757.9223
n,ours_16,5000,3,128,0,5395128,7.367
n,ours_16,5000,3,128,1,5394488,7.342
n,ours_16,5000,3,128,2,5394486,7.447
n,ours_16,5000,3,128,3,5395196,7.318
n,ours_16,5000,3,128,4,5394732,7.429
n,orig_16,5000,3,128,0,5395024,74.5418
n,orig_16,5000,3,128,1,5395400,74.1950
n,orig_16,5000,3,128,2,5394410,71.9692
n,orig_16,5000,3,128,3,5394348,73.0952
n,orig_16,5000,3,128,4,5395442,74.2384
pop,ours_1,1000,3,32,0,208419,0.402
pop,ours_1,1000,3,32,1,208389,0.434
pop,ours_1,1000,3,32,2,208495,0.426
pop,ours_1,1000,3,32,3,208535,0.435
pop,ours_1,1000,3,32,4,208453,0.416
pop,orig_1,1000,3,32,0,208461,6.2878
pop,orig_1,1000,3,32,1,208603,6.3424
pop,orig_1,1000,3,32,2,208557,6.2704
pop,orig_1,1000,3,32,3,208563,6.2566
pop,orig_1,1000,3,32,4,208545,6.2487
pop,ours_16,1000,3,32,0,208419,0.055
pop,ours_16,1000,3,32,1,208389,0.054
pop,ours_16,1000,3,32,2,208495,0.054
pop,ours_16,1000,3,32,3,208535,0.053
pop,ours_16,1000,3,32,4,208453,0.054
pop,orig_16,1000,3,32,0,208633,0.6600
pop,orig_16,1000,3,32,1,208417,0.6465
pop,orig_16,1000,3,32,2,208573,0.6853
pop,orig_16,1000,3,32,3,208563,0.6717
pop,orig_16,1000,3,32,4,208555,0.6515
pop,ours_1,1000,3,64,0,208341,0.825
pop,ours_1,1000,3,64,1,208517,0.824
pop,ours_1,1000,3,64,2,208533,0.834
pop,ours_1,1000,3,64,3,208414,0.834
pop,ours_1,1000,3,64,4,208573,0.833
pop,orig_1,1000,3,64,0,208433,12.4960
pop,orig_1,1000,3,64,1,208563,12.6436
pop,orig_1,1000,3,64,2,208592,12.5972
pop,orig_1,1000,3,64,3,208465,12.5584
pop,orig_1,1000,3,64,4,208543,12.4861
pop,ours_16,1000,3,64,0,208341,0.109
pop,ours_16,1000,3,64,1,208517,0.106
pop,ours_16,1000,3,64,2,208533,0.104
pop,ours_16,1000,3,64,3,208414,0.106
pop,ours_16,1000,3,64,4,208573,0.104
pop,orig_16,1000,3,64,0,208571,1.3403
pop,orig_16,1000,3,64,1,208481,1.2831
pop,orig_16,1000,3,64,2,208615,1.2979
pop,orig_16,1000,3,64,3,208473,1.2933
pop,orig_16,1000,3,64,4,208431,1.3041
pop,ours_1,1000,3,256,0,208351,3.289
pop,ours_1,1000,3,256,1,208437,3.360
pop,ours_1,1000,3,256,2,208353,3.373
pop,ours_1,1000,3,256,3,208348,3.397
pop,ours_1,1000,3,256,4,208409,3.355
pop,orig_1,1000,3,256,0,208438,50.6475
pop,orig_1,1000,3,256,1,208253,50.4913
pop,orig_1,1000,3,256,2,208455,50.7122
pop,orig_1,1000,3,256,3,208411,50.8276
pop,orig_1,1000,3,256,4,208339,50.4875
pop,ours_16,1000,3,256,0,208351,0.402
pop,ours_16,1000,3,256,1,208437,0.403
pop,ours_16,1000,3,256,2,208353,0.409
pop,ours_16,1000,3,256,3,208348,0.403
pop,ours_16,1000,3,256,4,208409,0.402
pop,orig_16,1000,3,256,0,208421,5.0446
pop,orig_16,1000,3,256,1,208371,5.0633
pop,orig_16,1000,3,256,2,208427,5.0978
pop,orig_16,1000,3,256,3,208339,4.9570
pop,orig_16,1000,3,256,4,208357,4.9860
pop,ours_1,1000,3,512,0,208233,6.666
pop,ours_1,1000,3,512,1,208203,6.840
pop,ours_1,1000,3,512,2,208361,6.650
pop,ours_1,1000,3,512,3,208378,6.696
pop,ours_1,1000,3,512,4,208386,6.693
pop,orig_1,1000,3,512,0,208355,101.5898
pop,orig_1,1000,3,512,1,208282,100.8743
pop,orig_1,1000,3,512,2,208293,101.0148
pop,orig_1,1000,3,512,3,208379,101.7903
pop,orig_1,1000,3,512,4,208397,100.9447
pop,ours_16,1000,3,512,0,208233,0.806
pop,ours_16,1000,3,512,1,208203,0.800
pop,ours_16,1000,3,512,2,208361,0.810
pop,ours_16,1000,3,512,3,208378,0.798
pop,ours_16,1000,3,512,4,208386,0.810
pop,orig_16,1000,3,512,0,208386,9.8119
pop,orig_16,1000,3,512,1,208367,9.9626
pop,orig_16,1000,3,512,2,208391,9.8446
pop,orig_16,1000,3,512,3,208406,9.8723
pop,orig_16,1000,3,512,4,208379,9.8436
pop,ours_1,1000,3,1024,0,208356,13.352
pop,ours_1,1000,3,1024,1,208307,13.866
pop,ours_1,1000,3,1024,2,208335,13.487
pop,ours_1,1000,3,1024,3,208399,13.338
pop,ours_1,1000,3,1024,4,208381,13.394
pop,orig_1,1000,3,1024,0,208311,203.7863
pop,orig_1,1000,3,1024,1,208417,203.1458
pop,orig_1,1000,3,1024,2,208311,202.8490
pop,orig_1,1000,3,1024,3,208243,202.3925
pop,orig_1,1000,3,1024,4,208359,202.4566
pop,ours_16,1000,3,1024,0,208356,1.595
pop,ours_16,1000,3,1024,1,208307,1.623
pop,ours_16,1000,3,1024,2,208335,1.587
pop,ours_16,1000,3,1024,3,208399,1.583
pop,ours_16,1000,3,1024,4,208381,1.615
pop,orig_16,1000,3,1024,0,208277,19.6256
pop,orig_16,1000,3,1024,1,208363,19.7737
pop,orig_16,1000,3,1024,2,208263,19.9133
pop,orig_16,1000,3,1024,3,208283,19.8617
pop,orig_16,1000,3,1024,4,208359,20.5107
