n,k,graph_seed,pop,run,budget_s,record
2000,3,8,128,3,20,847540
2000,3,8,128,3,30,847538
2000,3,8,2048,1,0.25,848940
2000,3,8,2048,1,0.5,848441
2000,3,8,2048,1,1,848274
2000,3,8,2048,1,2,848006
2000,3,8,2048,1,5,847654
2000,3,8,2048,1,10,847612
2000,3,8,2048,1,20,847544
2000,3,8,2048,1,30,847544
2000,3,8,2048,2,0.25,849072
2000,3,8,2048,2,0.5,848705
2000,3,8,2048,2,1,848392
2000,3,8,2048,2,2,848086
2000,3,8,2048,2,5,847638
2000,3,8,2048,2,10,847609
2000,3,8,2048,2,20,847544
2000,3,8,2048,2,30,847492
2000,3,8,2048,3,0.25,849194
2000,3,8,2048,3,0.5,848536
2000,3,8,2048,3,1,848344
2000,3,8,2048,3,2,848022
2000,3,8,2048,3,5,847660
2000,3,8,2048,3,10,847660
2000,3,8,2048,3,20,847620
2000,3,8,2048,3,30,847568
2000,3,8,256,1,0.25,848322
2000,3,8,256,1,0.5,848132
2000,3,8,256,1,1,847916
2000,3,8,256,1,2,847804
2000,3,8,256,1,5,847674
2000,3,8,256,1,10,847580
2000,3,8,256,1,20,847456
2000,3,8,256,1,30,847456
2000,3,8,256,2,0.25,848142
2000,3,8,256,2,0.5,848108
2000,3,8,256,2,1,847928
2000,3,8,256,2,2,847902
2000,3,8,256,2,5,847668
2000,3,8,256,2,10,847668
2000,3,8,256,2,20,847668
2000,3,8,256,2,30,847614
2000,3,8,256,3,0.25,848136
2000,3,8,256,3,0.5,848128
2000,3,8,256,3,1,847914
2000,3,8,256,3,2,847733
2000,3,8,256,3,5,847684
2000,3,8,256,3,10,847646
2000,3,8,256,3,20,847605
2000,3,8,256,3,30,847561
2000,3,8,4096,1,0.25,849500
2000,3,8,4096,1,0.5,849194
2000,3,8,4096,1,1,848608
2000,3,8,4096,1,2,848289
2000,3,8,4096,1,5,847915
2000,3,8,4096,1,10,847808
2000,3,8,4096,1,20,847551
2000,3,8,4096,1,30,847551
2000,3,8,4096,2,0.25,849302
2000,3,8,4096,2,0.5,849020
2000,3,8,4096,2,1,848448
2000,3,8,4096,2,2,848302
2000,3,8,4096,2,5,847829
2000,3,8,4096,2,10,847798
2000,3,8,4096,2,20,847570
2000,3,8,4096,2,30,847570
2000,3,8,4096,3,0.25,849468
2000,3,8,4096,3,0.5,849011
2000,3,8,4096,3,1,848458
2000,3,8,4096,3,2,848149
2000,3,8,4096,3,5,847826
2000,3,8,4096,3,10,847803
2000,3,8,4096,3,20,847648
2000,3,8,4096,3,30,847544
2000,3,8,512,1,0.25,848404
2000,3,8,512,1,0.5,848304
2000,3,8,512,1,1,847962
2000,3,8,512,1,2,847870
2000,3,8,512,1,5,847648
2000,3,8,512,1,10,847648
2000,3,8,512,1,20,847566
2000,3,8,512,1,30,847536
2000,3,8,512,2,0.25,848208
2000,3,8,512,2,0.5,848140
2000,3,8,512,2,1,847888
2000,3,8,512,2,2,847800
2000,3,8,512,2,5,847570
2000,3,8,512,2,10,847548
2000,3,8,512,2,20,847540
2000,3,8,512,2,30,847467
2000,3,8,512,3,0.25,848391
2000,3,8,512,3,0.5,848090
2000,3,8,512,3,1,847958
2000,3,8,512,3,2,847854
2000,3,8,512,3,5,847706
2000,3,8,512,3,10,847706
2000,3,8,512,3,20,847706
2000,3,8,512,3,30,847606
2000,3,8,64,1,0.25,848212
2000,3,8,64,1,0.5,848008
2000,3,8,64,1,1,847794
2000,3,8,64,1,2,847794
2000,3,8,64,1,5,847794
2000,3,8,64,1,10,847794
2000,3,8,64,1,20,847768
2000,3,8,64,1,30,847576
2000,3,8,64,2,0.25,848146
2000,3,8,64,2,0.5,847828
2000,3,8,64,2,1,847734
2000,3,8,64,2,2,847641
2000,3,8,64,2,5,847641
2000,3,8,64,2,10,847641
2000,3,8,64,2,20,847641
2000,3,8,64,2,30,847632
2000,3,8,64,3,0.25,848256
2000,3,8,64,3,0.5,848160
2000,3,8,64,3,1,848100
2000,3,8,64,3,2,848100
2000,3,8,64,3,5,847735
2000,3,8,64,3,10,847735
2000,3,8,64,3,20,847580
2000,3,8,64,3,30,847580
2000,8,7,1024,1,0.25,708619
2000,8,7,1024,1,0.5,707935
2000,8,7,1024,1,1,707261
2000,8,7,1024,1,2,706953
2000,8,7,1024,1,5,706678
2000,8,7,1024,1,10,706591
2000,8,7,1024,1,20,706567
2000,8,7,1024,1,30,706378
2000,8,7,1024,2,0.25,708649
